"stanox","tiploc"
51530,"BARKNGJ"
51529,"BARKUPJ"
"00000","BARLSOP"
43306,"BARLSTN"
89402,"BARMING"
87166,"BARN090"
87149,"BARNES"
11232,"BARO54"
11259,"BAROSHJ"
11231,"BAROW"
11233,"BAROWCS"
11247,"BAROWEW"
11231,"BAROWHS"
59009,"BAROWOS"
11243,"BAROWRD"
11249,"BAROWYD"
78802,"BARRABP"
78815,"BARRB49"
78804,"BARRBPC"
78801,"BARRDAZ"
78809,"BARRDCG"
78899,"BARRDGL"
78811,"BARRDNS"
78807,"BARRDUN"
78803,"BARREWS"
78806,"BARRHEX"
78814,"BARRSMT"
78810,"BARRY"
78805,"BARRYDK"
78817,"BARRYIS"
21004,"BARWHVN"
64123,"BASCSDG"
"00506","BASEL"
"00505","BASESGG"
55118,"BASFORD"
51019,"BASILDN"
89349,"BATABAL"
"00000","BATHBUS"
81500,"BATHGSL"
81502,"BATHRTS"
81501,"BATHSPA"
18437,"BATLEY"
87239,"BATRPHS"
87239,"BATRSH"
87199,"BATRSPJ"
87203,"BATRSPK"
87239,"BATRSYD"
89385,"BATT2XO"
89398,"BATTLE"
53243,"BAYFORD"
11725,"BAYHORS"
30106,"BBGHGL"
89415,"BCHBKFM"
78387,"BCHGRV"
"00000","BCKFOOT"
89521,"BCKJN"
"00000","BCKLWCS"
88316,"BCKN607"
"00000","BCKNBUS"
"00000","BCKNDSG"
88472,"BCKNHMH"
88315,"BCKNHMJ"
88315,"BCKNMJC"
87009,"BCKWATR"
41019,"BCKY"
89479,"BCNGNOS"
73502,"BCNSFLD"
73504,"BCNSWHI"
69503,"BCST196"
69450,"BCSTARD"
69504,"BCSTBLA"
"00000","BCSTBUS"
74554,"BCSTCOD"
69501,"BCSTES"
74553,"BCSTGF"
74555,"BCSTLRD"
69502,"BCSTN"
74557,"BCSTRTN"
69499,"BCSTUS"
71036,"BCWD"
31615,"BDENJT"
"00000","BDHMNRD"
86339,"BDHMPTN"
"00000","BDICK"
12238,"BDLNMHJ"
12241,"BDLNTNS"
12236,"BDLNTNX"
81813,"BDMNSTR"
38015,"BDST544"
38012,"BDSTNDJ"
38014,"BDSTNEJ"
38012,"BDSTON"
38013,"BDSTSDG"
69104,"BDWTHMS"
12105,"BEAL"
12108,"BEALSMA"
15628,"BEAMMLJ"
66454,"BEARLEY"
66453,"BEARLYJ"
"06005","BEASDAL"
"07990","BEATCE"
"07977","BEATCK"
"07975","BEATCKS"
"07978","BEATDNS"
"07995","BEATDPL"
"07974","BEATSDL"
"07973","BEATSUL"
"07976","BEATUPL"
"07996","BEATUPS"
"07987","BEATUSS"
"01089","BEAULY"
38208,"BEBNGTN"
49103,"BECCLES"
23504,"BECKBPA"
23507,"BECKGHM"
23503,"BECKHAX"
"00000","BECNTRE"
"00000","BEDFBUS"
62015,"BEDFDCD"
62014,"BEDFDCS"
62022,"BEDFDJS"
62011,"BEDFDM"
62008,"BEDFDN"
62009,"BEDFDNS"
62016,"BEDFDS"
62021,"BEDFDWR"
62017,"BEDFEGS"
62198,"BEDFMIL"
69105,"BEDWGF"
69106,"BEDWRTH"
74816,"BEDYN"
74823,"BEDYNRS"
25827,"BEGHEAL"
25836,"BEGHFHH"
25831,"BEGHTJN"
25826,"BEGHTND"
25825,"BEGHTSJ"
25835,"BEGHWES"
89513,"BEKSBRN"
12107,"BELFDRS"
12106,"BELFORD"
49125,"BELINGS"
87675,"BELM"
"00000","BELN688"
88471,"BELNGHM"
88484,"BELNGMS"
57111,"BELPER"
"08620","BELTLC"
88602,"BELVEDR"
44221,"BELWTRJ"
19005,"BEMPSPE"
19006,"BEMPTON"
51014,"BENFLET"
"07437","BENHACE"
"07435","BENHARJ"
"00232","BENIFAY"
12139,"BENTKIL"
12419,"BENTMET"
12255,"BENTON"
84207,"BEREALS"
84205,"BEREFRS"
70421,"BERKHMD"
18488,"BERRYB"
88246,"BERWICK"
35018,"BESCRLA"
62036,"BESJGL"
62035,"BESJOHN"
23475,"BESSCRJ"
55208,"BEST344"
55210,"BESTADV"
55218,"BESTFHH"
55220,"BESTGBR"
55211,"BESTNCS"
55216,"BESTNMC"
55217,"BESTNNJ"
55213,"BESTNSJ"
55212,"BESTON"
55215,"BESTONS"
42113,"BESTTSB"
42300,"BETLRSB"
40061,"BETSYCD"
"00889","BETTMBG"
19023,"BEVERLY"
"00000","BEWDLEY"
88268,"BEXHGF"
88275,"BEXHILL"
88463,"BEXLEY"
"02003","BGHD"
"02001","BGHDDCL"
79607,"BGLAN"
79611,"BGLNBBP"
79612,"BGLNBPF"
85402,"BGLWECC"
85404,"BGLWFHH"
85401,"BGLWJN"
"03165","BGOALAN"
66525,"BGRN"
"08301","BGSDEAY"
"08303","BGSDEJN"
66407,"BHAM190"
66406,"BHAM459"
"00000","BHAMAIR"
69214,"BHAMINJ"
69215,"BHAMINT"
69216,"BHAMISJ"
65210,"BHAMJEW"
66411,"BHAMMRS"
66410,"BHAMMS2"
66418,"BHAMMSS"
65629,"BHAMNBL"
"00000","BHAMNEC"
65630,"BHAMNHS"
65630,"BHAMNWS"
65213,"BHAMQHS"
66408,"BHAMSHT"
66409,"BHAMSNH"
66327,"BHAMSYJ"
51947,"BHILLPK"
"03095","BHLP"
"00000","BICK626"
88478,"BICKLEY"
88479,"BICKLYJ"
"00000","BIDFDBY"
"00000","BIDFDQY"
45614,"BIGL235"
45612,"BIGLPL"
45611,"BIGLSWD"
65035,"BILBROK"
50332,"BILE572"
50327,"BILERCY"
87951,"BILSHST"
55625,"BINGHAM"
36716,"BIRCHWD"
88312,"BIRKBCK"
"07131","BISHPBA"
"07132","BISHPTN"
"03291","BISLND"
"03291","BISLNDJ"
86216,"BITERNE"
21403,"BKBY"
36060,"BKDLE"
18492,"BKHLS"
79097,"BKNELL"
86904,"BKNH16"
86904,"BKNH62"
86903,"BKNHDS"
86901,"BKNHRST"
86902,"BKNHUPS"
69211,"BKSWELL"
67001,"BLACKWL"
40069,"BLAE2GF"
40068,"BLAE4GF"
40066,"BLAENAU"
"06714","BLAIRHL"
65938,"BLAKEDN"
"07486","BLANTYR"
"00000","BLAR34"
"03101","BLARATH"
"03099","BLARDS"
13403,"BLAYDON"
82207,"BLBGJN"
51555,"BLCHSRD"
30022,"BLCKNCS"
30021,"BLCKNHS"
30034,"BLCKPB"
30021,"BLCKPLN"
30033,"BLCKS"
87770,"BLCMJN"
85530,"BLDHU"
55505,"BLEASBY"
"09445","BLEMOR"
"09446","BLEMUGL"
"00000","BLENCWM"
"03155","BLFD"
"03154","BLFDDCE"
"03158","BLFDUS"
87245,"BLFR"
87229,"BLFR688"
87242,"BLFRCHS"
88395,"BLFRJN"
"00000","BLFSGPO"
"00000","BLFSTCL"
"00000","BLFSTDQ"
"00000","BLFSTPT"
"00000","BLFSTYR"
"06530","BLGR783"
"06705","BLGR785"
"06701","BLGRVE"
"00000","BLHSJN"
86896,"BLIEURD"
29150,"BLKB"
29149,"BLKB444"
29170,"BLKBBBJ"
29157,"BLKBBFG"
29152,"BLKBBRS"
29148,"BLKBDJN"
29153,"BLKBELS"
29155,"BLKBNBJ"
"00000","BLKBNHS"
29160,"BLKBNTS"
29151,"BLKBSHS"
88416,"BLKHTH"
"07328","BLKRDGE"
65343,"BLKST"
"03104","BLLINUG"
32061,"BLLVUE"
36068,"BLNDLAC"
15039,"BLNGHM"
15029,"BLNGHMJ"
15021,"BLNGMAR"
15022,"BLNGRFS"
79501,"BLNNBLP"
"00000","BLNRHND"
65523,"BLOX103"
65517,"BLOXN"
65520,"BLOXSB"
65519,"BLOXWCH"
30221,"BLRD"
30221,"BLRDSB"
"07429","BLSHL"
27114,"BLSVCL"
27113,"BLSVCW"
27115,"BLSVFHH"
70292,"BLTC76"
70295,"BLTCCAM"
70307,"BLTCCE"
70309,"BLTCCS"
70299,"BLTCDGL"
70312,"BLTCDRJ"
70296,"BLTCDS"
70301,"BLTCFJN"
70305,"BLTCHFS"
70306,"BLTCHLY"
70310,"BLTCHSJ"
70303,"BLTCHTS"
70297,"BLTCSN"
70293,"BLTCSOF"
70308,"BLTCSTE"
70302,"BLTCTMD"
70298,"BLTCUDG"
70298,"BLTCUGL"
70294,"BLTCWL"
70300,"BLTCYD"
24011,"BLTNODR"
89329,"BLTRNAB"
88412,"BLUANCR"
"00000","BLUEANC"
"04813","BLWLOC"
43505,"BLYBCRL"
43503,"BLYBDGE"
43510,"BLYBLLC"
12234,"BLYTCPS"
12231,"BLYTCW"
12230,"BLYTLIP"
30133,"BMBRBDG"
30131,"BMBRCE"
30140,"BMBRRS"
30132,"BMBRWI"
35155,"BMFRLNJ"
32579,"BMHL"
86061,"BMLY"
69424,"BNBR"
69432,"BNBR12"
69431,"BNBR21"
69430,"BNBR32"
69433,"BNBRCAT"
69422,"BNBRJN"
69426,"BNBRTS"
69421,"BNBRUGL"
69423,"BNBRYD"
"00000","BNBRYFY"
69425,"BNBRYNB"
69428,"BNBRYRA"
69427,"BNBRYSB"
69420,"BNBRYUS"
"00000","BNDO1"
46251,"BNDO19"
"00000","BNDO2"
46265,"BNDODSD"
46262,"BNDODSU"
46264,"BNDON"
46263,"BNDONGL"
"00000","BNDSBPL"
54101,"BNDSGNY"
54101,"BNDSGRN"
54101,"BNDSGRW"
"00000","BNGRD"
17016,"BNGY"
73996,"BNHAM"
"06523","BNHL"
"07355","BNHOUSE"
66463,"BNHTX"
36075,"BNKHALL"
"08829","BNKJN"
17054,"BNRHYDN"
65951,"BNRTH"
87150,"BNSBDGE"
11005,"BNSD"
24385,"BNSLY"
21416,"BNTB27"
21411,"BNTBDS"
21412,"BNTBFHH"
79613,"BGLNBC"
21411,"BNTBUS"
21415,"BNTBY"
87024,"BNTEY"
87144,"BNTFORD"
11563,"BNTHAM"
49300,"BNTLEY"
56302,"BNTNKCL"
68082,"BNWDJN"
68083,"BNWDSDG"
36082,"BNWK"
"01143","BOATOFG"
"00023","BOCHUM"
85012,"BODMINS"
"00000","BODMNGS"
"00000","BODMNMF"
85011,"BODMNPW"
"00000","BODMTSB"
40017,"BODORGN"
28509,"BOGHTNJ"
86442,"BOGN13"
86440,"BOGNBAL"
86441,"BOGNCHS"
86441,"BOGNMR"
86441,"BOGNORR"
"00000","BOGNS55"
86441,"BOGNSID"
"07028","BOGSTON"
"02040","BOKNTRE"
"00000","BOLGHVP"
"00000","BOLGNEM"
31620,"BOLTNCS"
31620,"BOLTON"
86921,"BOMO"
86920,"BOMO011"
86926,"BOMO21"
86923,"BOMOCS"
86923,"BOMOCSD"
"00000","BOMODD6"
86922,"BOMOEWS"
86928,"BOMOHAP"
86924,"BOMOMS"
86925,"BOMOUPS"
"00000","BOMOXTN"
71009,"BONENDJ"
"00031","BONNHBF"
"05116","BONSDPL"
"05115","BONSRPS"
"05115","BONSS"
"05118","BONSSGF"
"05117","BONSSJ"
87072,"BOOKHAM"
"06038","BOORCCE"
"06037","BOORCHY"
36074,"BOOT031"
36074,"BOOT032"
36074,"BOOTDUG"
36600,"BOOTLBJ"
11209,"BOOTLE"
36074,"BOOTLEJ"
36071,"BOOTLNS"
36072,"BOOTLOR"
88284,"BOPEEPJ"
"00792","BORDBAS"
"00000","BORDON"
"00792","BORDSTJ"
"00768","BORGSTM"
88404,"BORMRKJ"
71018,"BORN412"
71016,"BORN414"
71017,"BORN419"
71015,"BORN421"
74014,"BORNEND"
15882,"BOROBDR"
"09339","BORRVIA"
64606,"BORTBOW"
64604,"BORTH"
64605,"BORTLLA"
89435,"BORW303"
89412,"BORWDNL"
89401,"BORWGAW"
86373,"BOSHAM"
44215,"BOSTLFR"
44213,"BOSTNSS"
44212,"BOSTON"
44216,"BOSTOND"
44214,"BOSTSLS"
44511,"BOTESFD"
44512,"BOTESWJ"
86202,"BOTL295"
86202,"BOTLEY"
86203,"BOTLYFY"
15684,"BOULBYR"
15686,"BOULFHH"
66503,"BOURNVL"
44027,"BOUTHMJ"
62055,"BOWBRKH"
52601,"BOWD"
52605,"BOWDECC"
52600,"BOWDEWS"
52606,"BOWDFHH"
52609,"BOWDGBR"
52602,"BOWDMWR"
52608,"BOWDOLE"
52607,"BOWDOLY"
53309,"BOWERRL"
53309,"BOWESPK"
52701,"BOWJ"
52604,"BOWJ506"
"00000","BOWJB4S"
"00000","BOWKERV"
"06201","BOWLESO"
"06203","BOWLING"
15319,"BOWSFLD"
87686,"BOXHAWH"
"00000","BOXHBUS"
87087,"BRACETC"
87101,"BRACKNL"
17019,"BRADFS"
18631,"BRADHAM"
18641,"BRADIN"
50205,"BRAINFP"
50204,"BRAINTR"
49105,"BRAMPTN"
86927,"BRANKSM"
"00000","BRANS27"
